Date,ERBS Name,Total LTE Traffic Volume (GB),4G UL PDCP Total Traffic Volume (GB),4G DL PDCP Total Traffic Volume (GB)
11/03/2025,abria,55.65,6,50
11/04/2025,abria,52.41,6,47
11/05/2025,abria,52.58,6,46
11/06/2025,abria,63.43,7,56
11/07/2025,abria,61.04,5,56
11/08/2025,abria,65.3,8,57
11/09/2025,abria,75.37,8,68
11/10/2025,abria,57.65,5,52
11/11/2025,abria,55.88,6,50
11/12/2025,abria,52.61,7,46
11/13/2025,abria,54.16,6,48
11/14/2025,abria,61.96,7,55
11/15/2025,abria,66.3,7,60
11/16/2025,abria,86.34,9,77
11/17/2025,abria,62.98,7,56
11/18/2025,abria,60.21,6,54
11/19/2025,abria,50.34,5,45
11/20/2025,abria,62.13,6,56
11/21/2025,abria,65.87,6,60
11/22/2025,abria,75.75,8,67
11/23/2025,abria,80.44,8,72
11/24/2025,abria,82.56,9,73
11/25/2025,abria,75.31,8,67
11/26/2025,abria,60.07,6,54
11/27/2025,abria,57.92,7,51
11/28/2025,abria,67.68,7,61
11/29/2025,abria,77.5,8,70
11/30/2025,abria,85.73,8,77
12/01/2025,abria,66.72,6,60
12/02/2025,abria,57.06,6,51
12/03/2025,abria,85.48,9,77
12/04/2025,abria,68.92,9,60
12/05/2025,abria,67.98,7,61
12/06/2025,abria,69.69,8,62
12/07/2025,abria,77.02,9,68
11/03/2025,aeroporti,466.21,56,410
11/04/2025,aeroporti,432.09,46,386
11/05/2025,aeroporti,447.31,56,392
11/06/2025,aeroporti,481.15,62,419
11/07/2025,aeroporti,488.94,64,425
11/08/2025,aeroporti,525.23,63,463
11/09/2025,aeroporti,597.69,67,531
11/10/2025,aeroporti,449.11,55,394
11/11/2025,aeroporti,492.12,55,437
11/12/2025,aeroporti,497.27,61,436
11/13/2025,aeroporti,438.63,53,386
11/14/2025,aeroporti,623.75,76,548
11/15/2025,aeroporti,563.33,63,500
11/16/2025,aeroporti,529.99,61,469
11/17/2025,aeroporti,441.61,49,392
11/18/2025,aeroporti,440.88,48,392
11/19/2025,aeroporti,480.28,59,421
11/20/2025,aeroporti,499.12,59,440
11/21/2025,aeroporti,538.62,64,475
11/22/2025,aeroporti,527.79,62,466
11/23/2025,aeroporti,578.78,60,519
11/24/2025,aeroporti,434.49,47,388
11/25/2025,aeroporti,413.33,49,364
11/26/2025,aeroporti,513.24,61,453
11/27/2025,aeroporti,509.63,66,444
11/28/2025,aeroporti,574.08,67,508
11/29/2025,aeroporti,520.11,63,457
11/30/2025,aeroporti,552.39,63,490
12/01/2025,aeroporti,471.03,52,419
12/02/2025,aeroporti,419.27,52,367
12/03/2025,aeroporti,467.65,59,408
12/04/2025,aeroporti,459.77,53,407
12/05/2025,aeroporti,489.58,60,429
12/06/2025,aeroporti,511.93,61,451
12/07/2025,aeroporti,553.06,63,490
11/03/2025,akllapi,81.04,8,73
11/04/2025,akllapi,86.77,11,76
11/05/2025,akllapi,88.8,10,79
11/06/2025,akllapi,88.97,9,80
11/07/2025,akllapi,72.7,7,66
11/08/2025,akllapi,118,13,105
11/09/2025,akllapi,85.57,10,76
11/10/2025,akllapi,85.59,9,77
11/11/2025,akllapi,84.04,9,75
11/12/2025,akllapi,77.83,8,70
11/13/2025,akllapi,83.36,10,73
11/14/2025,akllapi,75.65,10,66
11/15/2025,akllapi,84.8,11,74
11/16/2025,akllapi,78.25,9,69
11/17/2025,akllapi,85.61,9,77
11/18/2025,akllapi,78.64,8,71
11/19/2025,akllapi,75.87,10,66
11/20/2025,akllapi,87.46,9,78
11/21/2025,akllapi,97.98,10,88
11/22/2025,akllapi,99.57,11,88
11/23/2025,akllapi,79.89,9,71
11/24/2025,akllapi,73.77,8,66
11/25/2025,akllapi,75.89,7,69
11/26/2025,akllapi,86.2,11,76
11/27/2025,akllapi,66.48,8,58
11/28/2025,akllapi,60.2,6,55
11/29/2025,akllapi,98.15,10,89
11/30/2025,akllapi,91.2,11,80
12/01/2025,akllapi,83.59,9,74
12/02/2025,akllapi,75.46,8,67
12/03/2025,akllapi,80.31,9,72
12/04/2025,akllapi,91.2,10,81
12/05/2025,akllapi,104.4,10,95
12/06/2025,akllapi,85.56,8,78
12/07/2025,akllapi,94.55,10,85
11/03/2025,albi_mall,40.96,6,35
11/04/2025,albi_mall,45.91,7,39
11/05/2025,albi_mall,43.14,7,37
11/06/2025,albi_mall,49.49,9,40
11/07/2025,albi_mall,52.29,7,45
11/08/2025,albi_mall,72.74,10,63
11/09/2025,albi_mall,72.59,10,62
11/10/2025,albi_mall,43.51,6,37
11/11/2025,albi_mall,50.77,8,43
11/12/2025,albi_mall,47.33,7,40
11/13/2025,albi_mall,43.31,6,37
11/14/2025,albi_mall,48.95,8,41
11/15/2025,albi_mall,64.33,9,55
11/16/2025,albi_mall,64.11,9,55
11/17/2025,albi_mall,36.7,6,30
11/18/2025,albi_mall,42.64,6,37
11/19/2025,albi_mall,51.82,7,45
11/20/2025,albi_mall,42.04,6,36
11/21/2025,albi_mall,44.03,6,38
11/22/2025,albi_mall,55.02,8,47
11/23/2025,albi_mall,58.32,10,48
11/24/2025,albi_mall,36.49,5,31
11/25/2025,albi_mall,41.07,6,35
11/26/2025,albi_mall,51.56,8,44
11/27/2025,albi_mall,53.01,8,45
11/28/2025,albi_mall,95.96,17,79
11/29/2025,albi_mall,69.96,10,60
11/30/2025,albi_mall,75.23,11,64
12/01/2025,albi_mall,35.86,5,31
12/02/2025,albi_mall,39.83,6,34
12/03/2025,albi_mall,41.06,6,35
12/04/2025,albi_mall,44.28,8,36
12/05/2025,albi_mall,48.5,9,39
12/06/2025,albi_mall,56.6,8,49
12/07/2025,albi_mall,72.09,10,62
11/03/2025,arllati,346.03,37,309
11/04/2025,arllati,229.1,28,201
11/05/2025,arllati,215.6,26,190
11/06/2025,arllati,232.06,28,204
11/07/2025,arllati,264.3,30,235
11/08/2025,arllati,311.02,34,277
11/09/2025,arllati,322.67,33,289
11/10/2025,arllati,249.28,29,220
11/11/2025,arllati,241.69,29,213
11/12/2025,arllati,271.47,29,242
11/13/2025,arllati,269.64,32,238
11/14/2025,arllati,315.44,34,281
11/15/2025,arllati,312.84,33,280
11/16/2025,arllati,297.74,30,267
11/17/2025,arllati,240.64,26,215
11/18/2025,arllati,237.54,25,213
11/19/2025,arllati,233.27,25,208
11/20/2025,arllati,238.87,26,213
11/21/2025,arllati,272.68,30,243
11/22/2025,arllati,293.81,29,265
11/23/2025,arllati,298.13,29,269
11/24/2025,arllati,240.63,28,212
11/25/2025,arllati,244.9,31,214
11/26/2025,arllati,244.88,29,216
11/27/2025,arllati,295.45,33,262
11/28/2025,arllati,336.86,38,298
11/29/2025,arllati,267.91,28,240
11/30/2025,arllati,419.47,39,380
12/01/2025,arllati,241.56,27,215
12/02/2025,arllati,219.25,25,194
12/03/2025,arllati,241.86,30,212
12/04/2025,arllati,219.3,26,193
12/05/2025,arllati,256.46,29,228
12/06/2025,arllati,307.02,29,278
12/07/2025,arllati,302.02,31,271
11/03/2025,artana,59.45,6,53
11/04/2025,artana,58.89,6,53
11/05/2025,artana,58.29,7,51
11/06/2025,artana,96.57,9,88
11/07/2025,artana,57.05,5,52
11/08/2025,artana,52.33,7,45
11/09/2025,artana,54.69,7,48
11/10/2025,artana,57.99,6,52
11/11/2025,artana,66.01,6,60
11/12/2025,artana,49.73,5,44
11/13/2025,artana,69.99,7,63
11/14/2025,artana,59.86,8,52
11/15/2025,artana,73.2,6,67
11/16/2025,artana,53.38,6,47
11/17/2025,artana,50.7,6,45
11/18/2025,artana,57.72,6,52
11/19/2025,artana,67.53,7,61
11/20/2025,artana,82.29,9,74
11/21/2025,artana,81.28,9,73
11/22/2025,artana,58.68,6,52
11/23/2025,artana,56.63,7,49
11/24/2025,artana,57.7,6,51
11/25/2025,artana,65.92,7,59
11/26/2025,artana,55.46,5,50
11/27/2025,artana,65.36,8,58
11/28/2025,artana,62.61,6,56
11/29/2025,artana,70.06,8,62
11/30/2025,artana,77.19,8,70
12/01/2025,artana,61.84,6,56
12/02/2025,artana,71.91,6,66
12/03/2025,artana,54.16,7,47
12/04/2025,artana,70.19,9,61
12/05/2025,artana,64.53,12,53
12/06/2025,artana,55.83,8,48
12/07/2025,artana,56.38,8,48
11/03/2025,babimoci,227.23,23,204
11/04/2025,babimoci,224.96,24,201
11/05/2025,babimoci,219.55,24,196
11/06/2025,babimoci,228.57,24,205
11/07/2025,babimoci,212.6,21,191
11/08/2025,babimoci,251.01,26,225
11/09/2025,babimoci,272.53,31,242
11/10/2025,babimoci,228.77,26,202
11/11/2025,babimoci,228.03,23,205
11/12/2025,babimoci,209.41,22,187
11/13/2025,babimoci,205,21,184
11/14/2025,babimoci,238.9,25,213
11/15/2025,babimoci,256.3,29,227
11/16/2025,babimoci,228.52,24,205
11/17/2025,babimoci,206.67,20,186
11/18/2025,babimoci,219.18,23,197
11/19/2025,babimoci,205.57,21,185
11/20/2025,babimoci,202.33,20,182
11/21/2025,babimoci,201.88,22,180
11/22/2025,babimoci,232.62,26,207
11/23/2025,babimoci,205.42,20,185
11/24/2025,babimoci,189.37,19,170
11/25/2025,babimoci,209.17,22,187
11/26/2025,babimoci,199,23,176
11/27/2025,babimoci,246.34,28,218
11/28/2025,babimoci,194.66,20,174
11/29/2025,babimoci,235.72,24,212
11/30/2025,babimoci,235.71,24,212
12/01/2025,babimoci,205.29,22,184
12/02/2025,babimoci,227.45,24,204
12/03/2025,babimoci,223.62,26,198
12/04/2025,babimoci,223.99,24,200
12/05/2025,babimoci,261.52,30,231
12/06/2025,babimoci,246.48,26,220
12/07/2025,babimoci,236.56,25,212
11/03/2025,bablaku,215.46,25,191
11/04/2025,bablaku,197.44,23,174
11/05/2025,bablaku,213.33,27,186
11/06/2025,bablaku,229.48,27,202
11/07/2025,bablaku,246.59,26,221
11/08/2025,bablaku,247.62,27,221
11/09/2025,bablaku,193.95,20,174
11/10/2025,bablaku,260.75,31,230
11/11/2025,bablaku,235.22,26,209
11/12/2025,bablaku,180.14,19,161
11/13/2025,bablaku,190.34,23,168
11/14/2025,bablaku,243.08,30,213
11/15/2025,bablaku,242.93,29,214
11/16/2025,bablaku,162.16,18,145
11/17/2025,bablaku,200.61,22,179
11/18/2025,bablaku,243.04,29,214
11/19/2025,bablaku,223.63,27,196
11/20/2025,bablaku,218.71,27,192
11/21/2025,bablaku,251.5,29,222
11/22/2025,bablaku,229.42,25,205
11/23/2025,bablaku,203.78,22,182
11/24/2025,bablaku,221.96,25,197
11/25/2025,bablaku,203.66,21,182
11/26/2025,bablaku,233.68,25,208
11/27/2025,bablaku,218.19,25,194
11/28/2025,bablaku,213.07,24,189
11/29/2025,bablaku,206.19,22,184
11/30/2025,bablaku,193.05,29,164
12/01/2025,bablaku,232.84,27,206
12/02/2025,bablaku,225.37,25,200
12/03/2025,bablaku,217.14,25,193
12/04/2025,bablaku,283.24,33,250
12/05/2025,bablaku,238.07,24,214
12/06/2025,bablaku,223.86,26,198
12/07/2025,bablaku,187.93,22,166
11/03/2025,babushi,542.98,70,473
11/04/2025,babushi,543.09,61,482
11/05/2025,babushi,511.35,59,453
11/06/2025,babushi,525.29,65,461
11/07/2025,babushi,538.49,58,480
11/08/2025,babushi,578.21,64,515
11/09/2025,babushi,571.56,63,509
11/10/2025,babushi,555.55,63,493
11/11/2025,babushi,498.58,56,443
11/12/2025,babushi,563.58,63,500
11/13/2025,babushi,608.79,69,540
11/14/2025,babushi,671.55,73,598
11/15/2025,babushi,699.47,75,625
11/16/2025,babushi,566.2,60,507
11/17/2025,babushi,588.14,65,523
11/18/2025,babushi,557.17,61,497
11/19/2025,babushi,610.64,78,533
11/20/2025,babushi,608.65,67,541
11/21/2025,babushi,762.04,77,685
11/22/2025,babushi,731.84,74,658
11/23/2025,babushi,636.67,65,571
11/24/2025,babushi,656.82,66,591
11/25/2025,babushi,609.29,61,548
11/26/2025,babushi,616.6,61,555
11/27/2025,babushi,535.95,57,479
11/28/2025,babushi,551.2,56,495
11/29/2025,babushi,543.87,55,488
11/30/2025,babushi,642.16,64,579
12/01/2025,babushi,505.69,52,454
12/02/2025,babushi,482.66,56,427
12/03/2025,babushi,576.59,61,516
12/04/2025,babushi,594.11,62,532
12/05/2025,babushi,602.22,63,539
12/06/2025,babushi,623.1,65,558
12/07/2025,babushi,571.89,63,509
11/03/2025,badovci,1.73,0,1
11/04/2025,badovci,3.23,1,3
11/05/2025,badovci,2.13,0,2
11/06/2025,badovci,2.2,0,2
11/07/2025,badovci,1.31,0,1
11/08/2025,badovci,4.14,1,3
11/09/2025,badovci,5.17,2,4
11/10/2025,badovci,4.34,1,3
11/11/2025,badovci,5.94,1,5
11/12/2025,badovci,0.47,0,0
11/13/2025,badovci,1.58,0,1
11/14/2025,badovci,6.66,1,5
11/15/2025,badovci,6.3,1,5
11/16/2025,badovci,10.12,2,8
11/17/2025,badovci,1.27,0,1
11/18/2025,badovci,0.9,0,1
11/19/2025,badovci,1.05,0,1
11/20/2025,badovci,2.89,0,3
11/21/2025,badovci,2.2,1,1
11/22/2025,badovci,4.47,1,3
11/23/2025,badovci,2.9,0,3
11/24/2025,badovci,0.88,0,1
11/25/2025,badovci,3.18,0,3
11/26/2025,badovci,1.46,0,1
11/27/2025,badovci,1.42,0,1
11/28/2025,badovci,0.7,0,1
11/29/2025,badovci,1.05,0,1
11/30/2025,badovci,1.73,0,2
12/01/2025,badovci,1.5,0,1
12/02/2025,badovci,0.67,0,1
12/03/2025,badovci,1.48,0,1
12/04/2025,badovci,4.57,1,3
12/05/2025,badovci,2.08,0,2
12/06/2025,badovci,1.44,0,1
12/07/2025,badovci,2.48,0,2
11/03/2025,bajgora,30.38,3,27
11/04/2025,bajgora,29.28,3,26
11/05/2025,bajgora,32.68,3,30
11/06/2025,bajgora,27.96,3,25
11/07/2025,bajgora,36.02,4,32
11/08/2025,bajgora,33.51,5,28
11/09/2025,bajgora,48.88,5,44
11/10/2025,bajgora,38.96,3,36
11/11/2025,bajgora,25.09,3,22
11/12/2025,bajgora,28.98,5,24
11/13/2025,bajgora,31.49,4,28
11/14/2025,bajgora,29.43,4,25
11/15/2025,bajgora,31.06,4,27
11/16/2025,bajgora,34.07,4,30
11/17/2025,bajgora,22.19,2,20
11/18/2025,bajgora,37.46,3,34
11/19/2025,bajgora,29.89,2,27
11/20/2025,bajgora,32.63,4,29
11/21/2025,bajgora,22.83,4,19
11/22/2025,bajgora,33.67,3,31
11/23/2025,bajgora,57.67,5,53
11/24/2025,bajgora,37.66,3,35
11/25/2025,bajgora,32.85,2,31
11/26/2025,bajgora,48.53,4,45
11/27/2025,bajgora,43.2,3,40
11/28/2025,bajgora,48.08,6,42
11/29/2025,bajgora,80.02,7,73
11/30/2025,bajgora,63.9,8,56
12/01/2025,bajgora,38.15,5,33
12/02/2025,bajgora,40.18,3,37
12/03/2025,bajgora,46.12,4,42
12/04/2025,bajgora,42.83,3,40
12/05/2025,bajgora,59.31,4,55
12/06/2025,bajgora,67.37,5,62
12/07/2025,bajgora,56.84,5,52
11/03/2025,banja,76.24,8,68
11/04/2025,banja,58.67,7,52
11/05/2025,banja,51,5,46
11/06/2025,banja,73.14,7,66
11/07/2025,banja,69.87,7,63
11/08/2025,banja,90.63,9,81
11/09/2025,banja,82.29,9,73
11/10/2025,banja,64.86,7,58
11/11/2025,banja,60.39,6,55
11/12/2025,banja,68.35,8,60
11/13/2025,banja,72.13,8,64
11/14/2025,banja,66.37,8,58
11/15/2025,banja,82.44,9,74
11/16/2025,banja,76.61,10,66
11/17/2025,banja,62.71,7,56
11/18/2025,banja,59.67,6,53
11/19/2025,banja,44.64,4,41
11/20/2025,banja,61.3,6,56
11/21/2025,banja,61.46,6,55
11/22/2025,banja,70,7,63
11/23/2025,banja,75.26,8,67
11/24/2025,banja,72.88,8,65
11/25/2025,banja,71.7,8,63
11/26/2025,banja,87.52,9,78
11/27/2025,banja,61.2,8,53
11/28/2025,banja,65.64,7,59
11/29/2025,banja,75.86,7,69
11/30/2025,banja,65.51,6,59
12/01/2025,banja,79.99,8,72
12/02/2025,banja,89.15,8,82
12/03/2025,banja,82.84,9,74
12/04/2025,banja,59.02,6,53
12/05/2025,banja,71.83,7,65
12/06/2025,banja,67.14,7,60
12/07/2025,banja,75.1,7,68
11/03/2025,banjska,10.99,1,10
11/04/2025,banjska,6.17,1,5
11/05/2025,banjska,6.21,1,5
11/06/2025,banjska,5.15,1,5
11/07/2025,banjska,8.38,1,7
11/08/2025,banjska,4.93,0,4
11/09/2025,banjska,5.05,1,4
11/10/2025,banjska,6,1,5
11/11/2025,banjska,10.95,2,9
11/12/2025,banjska,13.75,2,12
11/13/2025,banjska,9.69,2,8
11/14/2025,banjska,5.98,1,5
11/15/2025,banjska,9.57,1,8
11/16/2025,banjska,4.18,1,4
11/17/2025,banjska,12.04,1,11
11/18/2025,banjska,3,0,3
11/19/2025,banjska,4.38,0,4
11/20/2025,banjska,6.71,1,6
11/21/2025,banjska,8.57,1,8
11/22/2025,banjska,8.9,1,8
11/23/2025,banjska,10.29,1,9
11/24/2025,banjska,3.02,0,3
11/25/2025,banjska,9.5,1,9
11/26/2025,banjska,3.86,0,3
11/27/2025,banjska,6.86,1,6
11/28/2025,banjska,5.02,1,4
11/29/2025,banjska,4.48,0,4
11/30/2025,banjska,5.15,1,4
12/01/2025,banjska,9.24,1,8
12/02/2025,banjska,7.9,1,7
12/03/2025,banjska,6.87,1,6
12/04/2025,banjska,12.98,1,12
12/05/2025,banjska,8.18,1,7
12/06/2025,banjska,14.57,2,12
12/07/2025,banjska,6.47,1,6
11/03/2025,banulla,735.36,79,656
11/04/2025,banulla,714.27,81,633
11/05/2025,banulla,683.93,76,608
11/06/2025,banulla,802.24,94,708
11/07/2025,banulla,757.5,81,676
11/08/2025,banulla,779.67,85,695
11/09/2025,banulla,709.36,79,630
11/10/2025,banulla,734.1,82,652
11/11/2025,banulla,692.66,80,613
11/12/2025,banulla,634.49,67,567
11/13/2025,banulla,663.06,73,590
11/14/2025,banulla,698.94,79,620
11/15/2025,banulla,659.35,70,589
11/16/2025,banulla,530.78,55,476
11/17/2025,banulla,713.8,75,638
11/18/2025,banulla,737.11,75,662
11/19/2025,banulla,725.99,74,652
11/20/2025,banulla,686.26,66,621
11/21/2025,banulla,704.56,72,632
11/22/2025,banulla,690.92,76,615
11/23/2025,banulla,624.89,67,558
11/24/2025,banulla,652.7,71,582
11/25/2025,banulla,711.35,78,633
11/26/2025,banulla,832.04,84,748
11/27/2025,banulla,786.45,86,700
11/28/2025,banulla,700.54,74,627
11/29/2025,banulla,728.04,73,655
11/30/2025,banulla,648.71,66,583
12/01/2025,banulla,699.69,77,623
12/02/2025,banulla,752.99,78,675
12/03/2025,banulla,759.39,79,680
12/04/2025,banulla,799.76,78,722
12/05/2025,banulla,844.1,89,755
12/06/2025,banulla,776.4,78,699
12/07/2025,banulla,710.1,74,636
11/03/2025,baralia,29.41,4,26
11/04/2025,baralia,27.11,3,24
11/05/2025,baralia,31.31,4,27
11/06/2025,baralia,33.33,4,30
11/07/2025,baralia,30.16,3,27
11/08/2025,baralia,47.69,5,42
11/09/2025,baralia,64.52,8,57
11/10/2025,baralia,30.14,3,27
11/11/2025,baralia,29.04,3,26
11/12/2025,baralia,27.2,3,24
11/13/2025,baralia,11.71,2,10
11/14/2025,baralia,34.5,4,30
11/15/2025,baralia,62.48,7,56
11/16/2025,baralia,79.26,11,68
11/17/2025,baralia,34.48,3,31
11/18/2025,baralia,17.63,1,16
11/19/2025,baralia,2.91,0,3
11/20/2025,baralia,7.32,1,7
11/21/2025,baralia,8.75,1,8
11/22/2025,baralia,45.09,6,39
11/23/2025,baralia,62.95,8,55
11/24/2025,baralia,26.1,5,21
11/25/2025,baralia,35.82,5,31
11/26/2025,baralia,30.39,5,25
11/27/2025,baralia,27.97,3,25
11/28/2025,baralia,14.84,2,13
12/02/2025,baralia,10.12,1,9
12/03/2025,baralia,25.77,2,23
12/04/2025,baralia,29.11,2,27
12/05/2025,baralia,27.99,3,25
12/06/2025,baralia,56.4,6,50
12/07/2025,baralia,76.66,11,65
11/03/2025,bardhi,570.71,54,516
11/04/2025,bardhi,525.51,46,480
11/05/2025,bardhi,592.02,50,542
11/06/2025,bardhi,512.1,48,464
11/07/2025,bardhi,485.6,38,447
11/08/2025,bardhi,426.8,45,382
11/09/2025,bardhi,506.16,47,460
11/10/2025,bardhi,534.87,46,489
11/11/2025,bardhi,481.54,41,441
11/12/2025,bardhi,499.91,43,457
11/13/2025,bardhi,505.91,46,460
11/14/2025,bardhi,682.1,62,620
11/15/2025,bardhi,405.03,38,367
11/16/2025,bardhi,374.16,35,340
11/17/2025,bardhi,492.54,41,451
11/18/2025,bardhi,567.8,46,522
11/19/2025,bardhi,509.59,40,470
11/20/2025,bardhi,517.52,44,474
11/21/2025,bardhi,475.05,40,435
11/22/2025,bardhi,416.18,37,379
11/23/2025,bardhi,413.39,39,374
11/24/2025,bardhi,538.25,44,495
11/25/2025,bardhi,493.38,41,452
11/26/2025,bardhi,528.91,47,482
11/27/2025,bardhi,473.49,43,431
11/28/2025,bardhi,369.15,34,335
11/29/2025,bardhi,424.47,36,388
11/30/2025,bardhi,395.78,42,354
12/01/2025,bardhi,427.4,38,390
12/02/2025,bardhi,465.42,41,425
12/03/2025,bardhi,493.86,40,454
12/04/2025,bardhi,509.88,41,469
12/05/2025,bardhi,463.12,39,424
12/06/2025,bardhi,423.62,35,388
12/07/2025,bardhi,397.88,35,363
11/03/2025,bardhoshi,795.72,92,704
11/04/2025,bardhoshi,735.78,79,657
11/05/2025,bardhoshi,678.45,74,605
11/06/2025,bardhoshi,792.95,89,704
11/07/2025,bardhoshi,800.82,85,716
11/08/2025,bardhoshi,758.74,78,681
11/09/2025,bardhoshi,832.24,88,744
11/10/2025,bardhoshi,729.9,85,645
11/11/2025,bardhoshi,817.76,92,725
11/12/2025,bardhoshi,796.74,79,718
11/13/2025,bardhoshi,769.45,79,691
11/14/2025,bardhoshi,748.57,82,667
11/15/2025,bardhoshi,802.71,86,716
11/16/2025,bardhoshi,646.65,65,581
11/17/2025,bardhoshi,711.9,74,637
11/18/2025,bardhoshi,921.5,89,833
11/19/2025,bardhoshi,903.45,86,818
11/20/2025,bardhoshi,851.04,91,760
11/21/2025,bardhoshi,836.09,93,743
11/22/2025,bardhoshi,803.36,80,724
11/23/2025,bardhoshi,814.53,76,738
11/24/2025,bardhoshi,710.69,76,634
11/25/2025,bardhoshi,708.95,79,630
11/26/2025,bardhoshi,804.88,81,724
11/27/2025,bardhoshi,902.73,88,815
11/28/2025,bardhoshi,752.57,86,667
11/29/2025,bardhoshi,856.88,90,767
11/30/2025,bardhoshi,719.84,72,648
12/01/2025,bardhoshi,757.16,88,670
12/02/2025,bardhoshi,709.89,73,637
12/03/2025,bardhoshi,798.64,87,712
12/04/2025,bardhoshi,780.33,92,688
12/05/2025,bardhoshi,838.43,88,751
12/06/2025,bardhoshi,901.73,89,812
12/07/2025,bardhoshi,817.68,83,735
11/03/2025,bare,17.7,2,16
11/04/2025,bare,19.09,2,17
11/05/2025,bare,16.51,2,15
11/06/2025,bare,20.63,2,19
11/07/2025,bare,11.87,1,10
11/08/2025,bare,24.37,2,22
11/09/2025,bare,57.11,6,51
11/10/2025,bare,13.01,2,11
11/11/2025,bare,17.32,2,15
11/12/2025,bare,14.26,3,12
11/13/2025,bare,18.6,3,16
11/14/2025,bare,13.44,2,12
11/15/2025,bare,19.82,2,18
11/16/2025,bare,25.05,3,23
11/17/2025,bare,17.62,2,16
11/18/2025,bare,22.74,3,20
11/19/2025,bare,10.97,1,10
11/20/2025,bare,14.48,2,12
11/21/2025,bare,12.92,2,11
11/22/2025,bare,25.76,2,23
11/23/2025,bare,22.62,3,20
11/24/2025,bare,22.01,3,19
11/25/2025,bare,10.77,2,9
11/26/2025,bare,11.74,1,11
11/27/2025,bare,10.53,2,9
11/28/2025,bare,17.09,3,14
11/29/2025,bare,26.71,3,23
11/30/2025,bare,29.15,4,25
12/01/2025,bare,18.14,3,15
12/02/2025,bare,7.92,1,7
12/03/2025,bare,13.79,2,12
12/04/2025,bare,26.06,3,23
12/05/2025,bare,12.61,2,11
12/06/2025,bare,21.44,2,19
12/07/2025,bare,28.39,3,25
11/03/2025,barileva,399.04,45,354
11/04/2025,barileva,399.42,42,358
11/05/2025,barileva,378.3,38,341
11/06/2025,barileva,410.7,41,369
11/07/2025,barileva,455.2,49,406
11/08/2025,barileva,508.17,54,454
11/09/2025,barileva,431.81,44,388
11/10/2025,barileva,443.95,42,402
11/11/2025,barileva,454.79,47,407
11/12/2025,barileva,424.97,45,380
11/13/2025,barileva,429.68,41,389
11/14/2025,barileva,453.66,44,410
11/15/2025,barileva,425.85,46,380
11/16/2025,barileva,346.6,36,310
11/17/2025,barileva,380.46,42,339
11/18/2025,barileva,636.42,61,576
11/19/2025,barileva,435.48,44,392
11/20/2025,barileva,412.95,44,369
11/21/2025,barileva,478.2,51,428
11/22/2025,barileva,546.91,56,491
11/23/2025,barileva,499.31,51,448
11/24/2025,barileva,570.1,60,510
11/25/2025,barileva,561.47,63,498
11/26/2025,barileva,476.18,50,426
11/27/2025,barileva,428.29,46,383
11/28/2025,barileva,322.57,39,284
11/29/2025,barileva,373.66,40,334
11/30/2025,barileva,360.86,36,325
12/01/2025,barileva,404.07,41,363
12/02/2025,barileva,332.55,37,295
12/03/2025,barileva,412.02,43,369
12/04/2025,barileva,341.65,38,304
12/05/2025,barileva,402.37,38,364
12/06/2025,barileva,366.35,38,328
12/07/2025,barileva,373.26,40,333
11/03/2025,batllava,211.05,24,187
11/04/2025,batllava,200.92,24,177
11/05/2025,batllava,226.96,28,199
11/06/2025,batllava,208.85,25,184
11/07/2025,batllava,222.81,25,198
11/08/2025,batllava,265.41,28,237
11/09/2025,batllava,275.06,30,245
11/10/2025,batllava,213.6,24,190
11/11/2025,batllava,219.78,26,194
11/12/2025,batllava,213.22,27,187
11/13/2025,batllava,213.56,22,191
11/14/2025,batllava,272.67,33,240
11/15/2025,batllava,296.96,34,263
11/16/2025,batllava,257.3,29,229
11/17/2025,batllava,250.12,26,224
11/18/2025,batllava,234.83,25,210
11/19/2025,batllava,239.3,22,218
11/20/2025,batllava,216.42,23,194
11/21/2025,batllava,227.08,25,202
11/22/2025,batllava,254.9,27,228
11/23/2025,batllava,263.77,30,234
11/24/2025,batllava,230.45,27,203
11/25/2025,batllava,208.15,24,184
11/26/2025,batllava,229.54,25,205
11/27/2025,batllava,231.99,27,205
11/28/2025,batllava,316.46,31,286
11/29/2025,batllava,311.82,32,280
11/30/2025,batllava,321.34,31,290
12/01/2025,batllava,252.64,25,227
12/02/2025,batllava,298.03,31,267
12/03/2025,batllava,245.19,26,219
12/04/2025,batllava,301.25,29,272
12/05/2025,batllava,282.58,30,252
12/06/2025,batllava,364.3,37,327
12/07/2025,batllava,358.04,40,318
11/03/2025,beci,284.84,31,254
11/04/2025,beci,205.51,22,184
11/05/2025,beci,157.6,16,142
11/06/2025,beci,235.77,24,212
11/07/2025,beci,184.65,21,163
11/08/2025,beci,159.68,17,143
11/09/2025,beci,198.87,23,176
11/10/2025,beci,174.58,18,156
11/11/2025,beci,138.09,15,123
11/12/2025,beci,235.02,23,212
11/13/2025,beci,199,22,177
11/14/2025,beci,185.9,21,165
11/15/2025,beci,174.72,21,153
11/16/2025,beci,147.13,15,132
11/17/2025,beci,216.55,23,194
11/18/2025,beci,211.34,22,190
11/19/2025,beci,203.61,29,175
11/20/2025,beci,194.87,24,171
11/21/2025,beci,165.27,18,147
11/22/2025,beci,159.8,20,140
11/23/2025,beci,164.85,21,144
11/24/2025,beci,167.37,18,149
11/25/2025,beci,198.04,19,179
